answer1PictureName;answer2PictureName;answer3PictureName;rightAnswer;audioname
Hase.png;Spiegel.png;Igel.png;2;EX8_File_91_Anlaute_Instruktion_1.mp3
Tanne.png;Kanne.png;Wald.png;0;Ex8_File_93_Anlaute_Instruktion_3.mp3
Kreis.png;Eis.png;Nuss.png;1;Ex8_File_95_Anlaute_Instruktion_5.mp3
Ast.png;Baum.png;Mast.png;0;Ex8_File_97_Anlaute_Beispiel_1.mp3
Hund.png;Fuss.png;Mund.png;2;Ex8_File_98_Anlaute_Beispiel_2.mp3
Schuh.png;Fisch.png;Tisch.png;1;Ex8_File_99_Anlaute_Beispiel_3.mp3
Ratte.png;Puppe.png;Matte.png;0;Ex8_File_100_Anlaute_Beispiel_4.mp3
Storch.png;Eule.png;Beule.png;1;Ex8_File_101_Anlaute_Beispiel_5.mp3
Riese.png;Sonne.png;Wiese.png;2;Ex8_File_102_Anlaute_Beispiel_6.mp3
Insel.png;Pinsel.png;Maler.png;1;Ex8_File_103_Anlaute_Beispiel_7.mp3
Schnecke.png;Sofa.png;Decke.png;2;Ex8_File_104_Anlaute_Beispiel_8.mp3
Beine.png;Pferd.png;Schwein.png;2;Ex8_File_105_Anlaute_Beispiel_9.mp3
Glocke.png;Locke.png;Brille.png;0;Ex8_File_106_Anlaute_Beispiel_10.mp3
