imagePath;correctWord;word1;word2;word3;word4;
assets/lernverlauf/02-lesen/89_rose.png;Rose;Hase;Rose;Rabe;Dame;
assets/lernverlauf/02-lesen/90_schere.png;Schere;Schere;Schule;Tage;Schale;
assets/lernverlauf/02-lesen/91_nudel.png;Nudel;Nudel;Nadel;Nebel;Namen;
assets/lernverlauf/02-lesen/92_kugel.png;Kugel;Kegel;Kuchen;Lupe;Kugel;
assets/lernverlauf/02-lesen/93_regen.png;Regen;Raben;Regen;Rosen;Rasen;
assets/lernverlauf/02-lesen/94_besen.png;Besen;Tage;Boden;baden;Besen;
assets/lernverlauf/02-lesen/95_wiese.png;Wiese;Wiese;Wagen;Ziege;Wiege;
assets/lernverlauf/02-lesen/96_riese.png;Riese;Rasen;riefen;Regen;Riese;
assets/lernverlauf/02-lesen/97_liegen.png;liegen;liebe;lesen;liegen;sieben;
assets/lernverlauf/02-lesen/98_ente.png;Ente;Ende;Ente;Esel;Gabel;
assets/lernverlauf/02-lesen/99_tulpe.png;Tulpe;Tulpe;Tiere;Tante;Taste;
assets/lernverlauf/02-lesen/100_lampe.png;Lampe;Linse;Lampe;Palme;Laden;
