correctWord;audio
Lupe;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Lupe.mp3;
Maler;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Maler.mp3;
Mantel;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Mantel.mp3;
Mappe;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Mappe.mp3;
Maske;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Maske.mp3;
Meter;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Meter.mp3;
Morgen;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Morgen.mp3;
Nagel;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Nagel.mp3;
Nase;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Nase.mp3;
Nehmen;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Nehmen.mp3;
Onkel;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Onkel.mp3;
Pfanne;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Pfanne.mp3;
Pinsel;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Pinsel.mp3;
Pute;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Pute.mp3;
Räuber;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Raeuber.mp3;
Reihe;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Reihe.mp3;
Riese;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Riese.mp3;
Rose;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Rose.mp3;
Samen;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Samen.mp3;
Schale;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Schale.mp3;
Schiene;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Schiene.mp3;
Schirme;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Schirme.mp3;
