correctWord;audio
Gute;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Gute.mp3;
Heute;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Heute.mp3;
Hunde;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Hunde.mp3;
Käse;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Kaese.mp3;
Kater;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Kater.mp3;
Kaufen;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Kaufen.mp3;
Kinder;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Kinder.mp3;
Kirsche;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Kirsche.mp3;
Klasse;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Klasse.mp3;
Knochen;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Knochen.mp3;
Koffer;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Koffer.mp3;
Köpfe;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Koepfe.mp3;
Krone;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Krone.mp3;
Kuchen;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Kuchen.mp3;
Kugel;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Kugel.mp3;
Lachte;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Lachte.mp3;
Lehrer;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Lehrer.mp3;
Leider;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Leider.mp3;
Lenker;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Lenker.mp3;
Lernen;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Lernen.mp3;
Liege;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Liege.mp3;
Löwe;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Loewe.mp3;
