correctWord;audio
Ampel;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Ampel.mp3;
Bäume;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Baeume.mp3;
Beiden;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Beiden.mp3;
Besten;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Besten.mp3;
Biene;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Biene.mp3;
Bilder;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Bilder.mp3;
Birne;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Birne.mp3;
Bitte;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Bitte.mp3;
Bleiben;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Bleiben.mp3;
Blume;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Blume.mp3;
Bombe;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Bombe.mp3;
Bühne;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Buehne.mp3;
Dachte;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Dachte.mp3;
Decke;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Decke.mp3;
Denken;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Denken.mp3;
Dunkel;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Dunkel.mp3;
Eltern;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Eltern.mp3;
Enkel;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Enkel.mp3;
Feder;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Feder.mp3;
Felsen;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Felsen.mp3;
Gegen;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Gegen.mp3;
Glocke;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Glocke.mp3;
