correctWord;audio
Kinder;assets/lernverlauf/audios/L1_Wortschreiben/File_173_Wortschreiben_Aufgabe_11.mp3;
dunkel;assets/lernverlauf/audios/L1_Wortschreiben/File_174_Wortschreiben_Aufgabe_12.mp3;
lernen;assets/lernverlauf/audios/L1_Wortschreiben/File_175_Wortschreiben_Aufgabe_13.mp3;
Daumen;assets/lernverlauf/audios/L1_Wortschreiben/File_176_Wortschreiben_Aufgabe_14.mp3;
Käfer;assets/lernverlauf/audios/L1_Wortschreiben/File_177_Wortschreiben_Aufgabe_15.mp3;
Spaten;assets/lernverlauf/audios/L1_Wortschreiben/File_178a_Wortschreiben_Aufgabe_16.mp3;
schwarze;assets/lernverlauf/audios/L1_Wortschreiben/File_178b_Wortschreiben_Aufgabe_17.mp3;
Frösche;assets/lernverlauf/audios/L1_Wortschreiben/File_179_Wortschreiben_Aufgabe_18.mp3;
Schweine;assets/lernverlauf/audios/L1_Wortschreiben/File_180_Wortschreiben_Aufgabe_19.mp3;
immer;assets/lernverlauf/audios/L1_Wortschreiben/File_181_Wortschreiben_Aufgabe_20.mp3;
Mücken;assets/lernverlauf/audios/L1_Wortschreiben/File_182_Wortschreiben_Aufgabe_21.mp3;
zischen;assets/lernverlauf/audios/L1_Wortschreiben/File_183_Wortschreiben_Aufgabe_22.mp3;
Wecker;assets/lernverlauf/audios/L1_Wortschreiben/File_184_Wortschreiben_Aufgabe_23.mp3;
Finger;assets/lernverlauf/audios/L1_Wortschreiben/File_185_Wortschreiben_Aufgabe_24.mp3;
Gipfel;assets/lernverlauf/audios/L1_Wortschreiben/File_186_Wortschreiben_Aufgabe_25.mp3;
stellen;assets/lernverlauf/audios/L1_Wortschreiben/File_187_Wortschreiben_Aufgabe_26.mp3;
Knochen;assets/lernverlauf/audios/L1_Wortschreiben/File_188_Wortschreiben_Aufgabe_27.mp3;
Ruhe;assets/lernverlauf/audios/L1_Wortschreiben/File_189_Wortschreiben_Aufgabe_28.mp3;
Fahne;assets/lernverlauf/audios/L1_Wortschreiben/File_190_Wortschreiben_Aufgabe_29.mp3;
nehmen;assets/lernverlauf/audios/L1_Wortschreiben/File_191_Wortschreiben_Aufgabe_30.mp3;
Haut;assets/lernverlauf/audios/L1_Wortschreiben/File_192_Wortschreiben_Aufgabe_31.mp3;
Tor;assets/lernverlauf/audios/L1_Wortschreiben/File_193_Wortschreiben_Aufgabe_32.mp3;
Pilz;assets/lernverlauf/audios/L1_Wortschreiben/File_194_Wortschreiben_Aufgabe_33.mp3;
Korb;assets/lernverlauf/audios/L1_Wortschreiben/File_195_Wortschreiben_Aufgabe_34.mp3;
Stein;assets/lernverlauf/audios/L1_Wortschreiben/File_196_Wortschreiben_Aufgabe_35.mp3;
Kran;assets/lernverlauf/audios/L1_Wortschreiben/File_197_Wortschreiben_Aufgabe_36.mp3;
zwölf;assets/lernverlauf/audios/L1_Wortschreiben/File_198_Wortschreiben_Aufgabe_37.mp3;
Prinz;assets/lernverlauf/audios/L1_Wortschreiben/File_199_Wortschreiben_Aufgabe_38.mp3;
Gespenster;assets/lernverlauf/audios/L1_Wortschreiben/File_200_Wortschreiben_Aufgabe_39.mp3;
Prinzessin;assets/lernverlauf/audios/L1_Wortschreiben/File_201_Wortschreiben_Aufgabe_40.mp3;
vorne;assets/lernverlauf/audios/L1_Wortschreiben/File_202_Wortschreiben_Aufgabe_41.mp3;
