correctWord;audio
Reise;assets/lernverlauf/audios/L1_Wortschreiben/Schnapp_Schreiben1_Aufgabe1_Reise.mp3
Tage;assets/lernverlauf/audios/L1_Wortschreiben/Schnapp_Schreiben1_Aufgabe2_Tage.mp3
Rabe;assets/lernverlauf/audios/L1_Wortschreiben/Schnapp_Schreiben1_Aufgabe3_Rabe.mp3
Regen;assets/lernverlauf/audios/L1_Wortschreiben/File_164_Wortschreiben_Aufgabe_2.mp3
Nadel;assets/lernverlauf/audios/L1_Wortschreiben/File_165_Wortschreiben_Aufgabe_3.mp3
Daumen;assets/lernverlauf/audios/L1_Wortschreiben/File_176_Wortschreiben_Aufgabe_14.mp3
Hunde;assets/lernverlauf/audios/L1_Wortschreiben/File_169_Wortschreiben_Aufgabe_7.mp3
Tulpe;assets/lernverlauf/audios/L1_Wortschreiben/Schnapp_Schreiben1_Aufgabe8_Tulpe.mp3
Mantel;assets/lernverlauf/audios/L1_Wortschreiben/Schnapp_Schreiben1_Aufgabe9_Mantel.mp3
denken;assets/lernverlauf/audios/L1_Wortschreiben/File_171_Wortschreiben_Aufgabe_9.mp3
dunkel;assets/lernverlauf/audios/L1_Wortschreiben/Schnapp_Schreiben1_Aufgabe11_dunkel.mp3
Kater;assets/lernverlauf/audios/L1_Wortschreiben/File_172_Wortschreiben_Aufgabe_10.mp3
Bilder;assets/lernverlauf/audios/L1_Wortschreiben/Schnapp_Schreiben1_Aufgabe13_Bilder.mp3
Kerne;assets/lernverlauf/audios/L1_Wortschreiben/Schnapp_Schreiben1_Aufgabe14_Kerne.mp3
Körper;assets/lernverlauf/audios/L1_Wortschreiben/Schnapp_Schreiben1_Aufgabe15_Koerper.mp3
Diebe;assets/lernverlauf/audios/L1_Wortschreiben/File_168_Wortschreiben_Aufgabe_6.mp3
Fieber;assets/lernverlauf/audios/L1_Wortschreiben/Schnapp_Schreiben1_Aufgabe17_Fieber.mp3
schwarze;assets/lernverlauf/audios/L1_Wortschreiben/Schnapp_Schreiben1_Aufgabe18_schwarze.mp3
grinsen;assets/lernverlauf/audios/L1_Wortschreiben/Schnapp_Schreiben1_Aufgabe19_grinsen.mp3
Spaten;assets/lernverlauf/audios/L1_Wortschreiben/File_178a_Wortschreiben_Aufgabe_16.mp3
Streifen;assets/lernverlauf/audios/L1_Wortschreiben/Schnapp_Schreiben1_Aufgabe21_Streifen.mp3
Käfer;assets/lernverlauf/audios/L1_Wortschreiben/File_177_Wortschreiben_Aufgabe_15.mp3
