answer1PictureName;answer2PictureName;answer3PictureName;answer4PictureName;rightAnswer;word;audio
A_erschrecken/traurig.jpg;A_erschrecken/entdecken.jpg;A_erschrecken/arbeiten.jpg;A_erschrecken/erschrecken.jpg;3;erschrecken;EX10_File_129_Wortschatz_Instruktion_3MASTER.mp3
B_Kleidung/Kleiderbuegel.jpg;B_Kleidung/Kleidung.jpg;B_Kleidung/Leitung.jpg;B_Kleidung/Zeit.jpg;1;Kleidung;EX10_File_130_Wortschatz_Instruktion_4MASTER.mp3
1_Spur/Pfote.jpg;1_Spur/Spuk.jpg;1_Spur/Aquarium.jpg;1_Spur/Spur.jpg;3;Spur;File_142_Wortschatz_Beispiel_1.mp3
2_laestig/lustig.jpg;2_laestig/langweilig.jpg;2_laestig/laestig.jpg;2_laestig/bekannt.jpg;2;lästig;File_143_Wortschatz_Beispiel_2.mp3
3_Gebaeude/Gebaeude.jpg;3_Gebaeude/Baeume.jpg;3_Gebaeude/Moebel.jpg;3_Gebaeude/bauen.jpg;0;Gebäude;File_144_Wortschatz_Beispiel_3.mp3
4_fuer/Foehn.jpg;4_fuer/mit.jpg;4_fuer/ausserhalb.jpg;4_fuer/fuer.jpg;3;für;File_145_Wortschatz_Beispiel_4.mp3
5_Vogelscheuche/fangen.jpg;5_Vogelscheuche/Vogelhaus.jpg;5_Vogelscheuche/Vogelscheuche.jpg;5_Vogelscheuche/Scheune.jpg;2;Vogelscheuche;File_146_Wortschatz_Beispiel_5.mp3
6_ruehren/ernten.jpg;6_ruehren/waschen.jpg;6_ruehren/ruehren.jpg;6_ruehren/Schnuere.jpg;2;rühren;File_147_Wortschatz_Beispiel_6.mp3
7_Publikum/Puppe.jpg;7_Publikum/Spuele.jpg;7_Publikum/Publikum.jpg;7_Publikum/jemand_schaut_vorm_Fernseher.jpg;2;Publikum;File_148_Wortschatz_Beispiel_7.mp3
8_hell/hell.jpg;8_hell/frei.jpg;8_hell/dunkel.jpg;8_hell/Fell.jpg;0;hell;File_149_Wortschatz_Beispiel_8.mp3
9_Gerichte/Geschichten.jpg;9_Gerichte/Lebensmittel.jpg;9_Gerichte/Gerichte.jpg;9_Gerichte/Wasser.jpg;2;Gerichte;File_150_Wortschatz_Beispiel_9.mp3
10_gegen/gegen.jpg;10_gegen/aus.jpg;10_gegen/gehen.jpg;10_gegen/ueber.jpg;0;gegen;File_151_Wortschatz_Beispiel_10.mp3
11_Schraubenzieher/Tennisschlaeger_mit_Ball.jpg;11_Schraubenzieher/Schraubenzieher.jpg;11_Schraubenzieher/Korkenzieher.jpg;11_Schraubenzieher/Scheibenabzieher.jpg;1;Schraubenzieher;File_152_Wortschatz_Beispiel_11.mp3
12_zuechten/liegen.jpg;12_zuechten/fluechten.jpg;12_zuechten/zuechten.jpg;12_zuechten/Kleidung.jpg;2;züchten;File_153_Wortschatz_Beispiel_12.mp3
