itemPath1;itemPath2;itemPath3;correctWord1;correctWord2;correctWord3;word1;word2;word3;word4;word5;word6;
Wort_Bsp1_A_Spinne.jpg;Wort_Bsp1_B_Spiele.jpg;Wort_Bsp1_C_Speise.jpg;Spinne;Spiele;Speise;Spanne;Speiche;Spinne;Spiele;Spieße;Speise;
Wort_Bsp2_A_anbeisen.jpg;Wort_Bsp2_B_anbieten(neu).jpg;Wort_Bsp2_C_anstrengen.jpg;anbeißen;anbieten;anstrengen;abreißen;anstecken;anbeten;anbieten;anbeißen;anstrengen;
Wort_Item1_A_Flasche.jpg;Wort_Item1_B_Rutsche.jpg;Wort_Item1_C_Tasche.jpg;Flasche;Rutsche;Tasche;Tasche;Rutsche;Lasche;Masche;Kutsche;Flasche;
Wort_Item2_A_Hundefutter.jpg;Wort_Item2_B_Hundeleine.jpg;Wort_Item2_C_Hundeschnauze.jpg;Hundefutter;Hundeleine;Hundeschnauze;Hundeschlitten;Hundehütte;Hundeschule;Hundeschnauze;Hundefutter;Hundeleine;
Wort_Item3_A_fahren.jpg;Wort_Item3_B_fallen.jpg;Wort_Item3_C_falten.jpg;fahren;fallen;falten;fällen;fallen;fahren;falten;fahnden;fangen;
Wort_Item4_A_haemmern.jpg;Wort_Item4_B_drehen.jpg;Wort_Item4_C_haengen.jpg;hämmern;drehen;hängen;drängen;hämmern;dämmern;hängen;dehnen;drehen;
Wort_Item5_A_Spiegel.jpg;Wort_Item5_B_Stiefel.jpg;Wort_Item5_C_Ziege.jpg;Spiegel;Stiefel;Ziege;Stiege;Ziegel;Spiegel;Ziege;Siegel;Stiefel;
Wort_Item6_A_steil.jpg;Wort_Item6_B_stumpf.jpg;Wort_Item6_C_stumm.jpg;steil;stumpf;still;stolz;still;starr;stur;stumpf;steil;
Wort_Item7_A_Abfall.jpg;Wort_Item7_B_Abflug.jpg;Wort_Item7_C_Abstand.jpg;Abfall;Abflug;Abstand;Abfluss;Abspann;Abstieg;Abfall;Abflug;Abstand;
Wort_Item8_A_regnen.jpg;Wort_Item8_B_rodeln.jpg;Wort_Item8_C_rasten.jpg;regnen;rodeln;rasten;regnen;rosten;regeln;rasten;radeln;rodeln;
Wort_Item9_A_schnuppern.jpg;Wort_Item9_B_schwimmen.jpg;Wort_Item9_C_schnappen.jpg;schnuppern;schwimmen;schnappen;schwappen;schnattern;schimmern;schnappen;schwimmen;schnuppern;
Wort_Item10_A_wecken_neu.jpg;Wort_Item10_B_merken.jpg;Wort_Item10_C_wedeln.jpg;wecken;merken;wedeln;merken;wedeln;meckern;wecken;weben;welken;
Wort_Item11_A_muede.jpg;Wort_Item11_B_mutig.jpg;Wort_Item11_C_maechtig.jpg;müde;mutig;mächtig;muffig;müde;mutig;mürbe;mächtig;mäßig;
Wort_Item12_A_Bauchnabel.jpg;Wort_Item12_B_Baumwipfel.jpg;Wort_Item12_C_Baustelle.jpg;Bauchnabel;Baumwipfel;Baustelle;Bauchnabel;Baumwolle;Bauchredner;Baumwipfel;Baumeister;Baustelle
